nombre,poblacion
Madrid,3334730
Barcelona,1664182
València,800215
Sevilla,691395
Zaragoza,681877
Málaga,578460
Murcia,459403
Palma,422587
Las Palmas de Gran Canaria,381223
Bilbao,350184
Alacant,337482
Córdoba,326039
Valladolid,299265
Vigo,296692
Gijón,271717
L'Hospitalet de Llobregat,269382
Vitoria-Gasteiz,253996
A Coruña,247604
Elx,234765
Granada,233648
Terrassa,223627
Badalona,223166
Oviedo,219910
Sabadell,216520
Cartagena,216108
Jerez de la Frontera,213105
Móstoles,210309
Santa Cruz de Tenerife,209194
Iruña,203944
Almería,201322
Alcalá de Henares,197562
Fuenlabrada,194514
Leganés,191114
San Sebastián,188240
Getafe,185180
Burgos,176418
Albacete,174336
Castelló de la Plana,174264
Santander,173375
Alcorcón,172384
San Cristóbal de La Laguna,158911
Logroño,152485
Badajoz,150984
Marbella,147633
Salamanca,144825
Huelva,143837
Lleida,140403
Tarragona,136496
Dos Hermanas,135050
Parla,133482
Torrejón de Ardoz,132853
Mataró,129661
León,124028
Algeciras,123078
Santa Coloma de Gramenet,120443
Alcobendas,118417
Cádiz,115439
Jaén,112757
Reus,106168
Ourense,105643
Girona,103369
Telde,102791
Barakaldo,101486
Lugo,98519
Roquetas de Mar,98433
Santiago de Compostela,97848
Cáceres,96255
Las Rozas de Madrid,96113
Lorca,95515
San Fernando,95001
Sant Cugat del Vallès,92977
San Sebastián de los Reyes,91224
Rivas-Vaciamadrid,90973
Cornellà de Llobregat,89936
El Puerto de Santa María,88703
Guadalajara,87484
Pozuelo de Alarcón,87165
Toledo,85811
Mijas,85397
Chiclana de la Frontera,85150
Torrevieja,84667
Sant Boi de Llobregat,84500
Torrent,83962
El Ejido,83758
Talavera de la Reina,83663
Pontevedra,83260
Fuengirola,82837
Arona,82777
Vélez-Málaga,82365
Coslada,81391
Rubí,78591
Orihuela,78505
Manresa,78245
Palencia,78144
Avilés,77791
Getxo,77770
Valdemoro,77270
Gandia,75798
Alcalá de Guadaíra,75533
Ciudad Real,75504
Santa Lucía de Tirajana,74602
Molina de Segura,73095
Majadahonda,72155
Paterna,71035
Benidorm,70450
Estepona,70228
Sanlúcar de Barrameda,69205
Torremolinos,69166
Benalmádena,69144
Vilanova i la Geltrú,67733
Castelldefels,67460
Viladecans,67197
Sagunt,67173
Ferrol,65560
El Prat de Llobregat,65385
Arrecife,64645
Ponferrada,64509
Collado Villalba,64378
La Línea de la Concepción,63630
Irun,62910
Granollers,62419
Zamora,60988
Aranjuez,60332
Mérida,59548
Alcoi,59354
Sant Vicent del Raspeig,58978
Motril,58460
Ávila,58369
Cerdanyola del Vallès,57855
Linares,57353
Boadilla del Monte,56734
Arganda del Rey,56678
Cuenca,54621
Huesca,53956
San Bartolomé de Tirajana,53397
Pinto,53325
Elda,52813
Segovia,52057
Colmenar Viejo,51938
Calvià,51710
Mollet del Vallès,51600
Torrelavega,51597
Siero,51509
Vila-real,51293
Granadilla de Abona,51233
Eivissa,51128
Utrera,50962
Adeje,49030
Rincón de la Victoria,48768
Tres Cantos,48326
Vic,47630
Figueres,47235
Esplugues de Llobregat,47150
Gavà,47057
Puertollano,46607
Mairena del Aljarafe,46555
Santurtzi,46069
Portugalete,45746
Sant Feliu de Llobregat,45467
Alzira,44938
Manacor,44527
Mislata,44320
Dénia,42827
Lucena,42733
Alcantarilla,42345
La Orotava,42187
Puerto del Rosario,41808
Puerto Real,41700
Antequera,41318
Alhaurín de la Torre,41170
Basauri,40847
Igualada,40742
Vilafranca del Penedès,40154
Blanes,39914
Écija,39893
Plasencia,39860
Soria,39821
San Fernando de Henares,39566
Errenteria,39540
Santa Eulària des Riu,39358
Langreo,39183
Ripollet,39179
Lloret de Mar,39089
La Rinconada,39062
Narón,39056
Burjassot,38632
Los Palacios y Villafranca,38548
El Vendrell,38373
Arucas,38334
Llucmajor,37752
Marratxí,37724
Vilagarcía de Arousa,37565
Mieres,37537
Sant Adrià de Besòs,37447
Don Benito,37284
Tudela,37042
Montcada i Reixac,36803
Los Realejos,36727
Andújar,36615
Oleiros,36534
Torre-Pacheco,36464
Teruel,36240
Tomelloso,36168
Olot,35926
Ontinyent,35761
Miranda de Ebro,35760
Águilas,35722
Azuqueca de Henares,35407
Cieza,35283
la Vila Joiosa,35199
Burriana,35052
Yecla,34834
Cambrils,34734
Galapagar,34497
Úbeda,34329
Sant Joan Despí,34267
Petrer,34241
Villena,34155
Almendralejo,33855
Ronda,33730
Inca,33679
Tortosa,33439
Barberà del Vallès,33334
Santa Pola,33303
Aranda de Duero,33187
San Javier,33129
